id,ka_adi,ka_tip,il_ilce,ilan_tarihi,revizyon_tarihi,alan_ha,ecosystem_type,ecosystem_id,drought_severity,groundwater_sensitivity,fault_distance_m,wetland_proximity_risk,protected_area_importance,drought_norm,groundwater_sensitivity_norm,wetland_proximity_risk_norm,protected_area_importance_norm,ecosystem_water_sensitivity_score
milliparklar.677,ULUDAG_MP,MilliParklar,"Bursa-Inegöl, Bursa-Yildirim, Bursa-Keles, Bursa-Osmangazi, Bursa-Kestel",1961-09-19 22:00:00+00:00,2023-07-14 21:00:00+00:00,10978.0,National Park,45,0.7783333333333333,0.8,6817.9637246731345,0.0,0.12613239740005258,0.7783333333333333,1.0,0.0,0.12613239740005258,0.5913365262766744
tabiatparki.311,TALAT GÖKTEPE_TP,TabiatParklari,Mersin-Erdemli,2011-07-10 21:00:00+00:00,,26.1452391966,Nature Park,153,0.8316666666666667,0.8,32185.031290022867,0.0,0.0002522724734065955,0.8316666666666667,1.0,0.0,0.0002522724734065955,0.5911211742043443
tabiatparki.515,MERYEMANA_TP,TabiatParklari,Izmir-Selçuk,2008-04-21 21:00:00+00:00,2015-08-12 21:00:00+00:00,354.7518147,Nature Park,244,0.8183333333333334,0.8,2412.353399385257,0.0,0.003816261384511007,0.8183333333333334,1.0,0.0,0.003816261384511007,0.5869891058743433
tabiatparki.555,EFEOGLU_TP,TabiatParklari,"Izmir-Torbali, Izmir-Buca",2011-07-10 21:00:00+00:00,2018-06-03 21:00:00+00:00,24.0666781,Nature Park,256,0.8183333333333334,0.8,2127.095415340657,0.0,0.00024209754885862154,0.8183333333333334,1.0,0.0,0.00024209754885862154,0.5864529812989954
tabiatparki.293,GÜMÜLDÜR_TP,TabiatParklari,Izmir-Seferihisar,2011-07-10 21:00:00+00:00,,7.36751047175,Nature Park,145,0.8183333333333334,0.8,196.52740951596024,0.0,5.9329694445782414e-05,0.8183333333333334,1.0,0.0,5.9329694445782414e-05,0.5864255661208334
tabiatparki.90,BALLIKAYALAR_TP,TabiatParklari,"Kocaeli-Dilovasi, Kocaeli-Gebze",1995-09-05 21:00:00+00:00,,1602.97295638,Nature Park,65,0.81,0.8,14930.423384903688,0.0,0.018809005678321937,0.81,1.0,0.0,0.018809005678321937,0.5863213508517482
tabiatparki.28,AKYOKUS_TP,TabiatParklari,Konya-Meram,2011-07-10 21:00:00+00:00,,21.5656035,Nature Park,53,0.8133333333333334,0.8,459.6422953947114,0.0,0.00021231052940306924,0.8133333333333334,1.0,0.0,0.00021231052940306924,0.5846985132460771
tabiatparki.286,KAVAKLIMESE_KORUSU_TP,TabiatParklari,Kirklareli-Kirklareli_Merkez Ilçe,2011-07-10 21:00:00+00:00,2022-01-25 21:00:00+00:00,71.76,Nature Park,142,0.8116666666666666,0.8,118989.74294477631,0.0,0.0008433207178443572,0.8116666666666666,1.0,0.0,0.0008433207178443572,0.5842098314410099
tabiatparki.685,ORTABURUN_TP,TabiatParklari,Yalova-Çinarcik,2023-04-06 21:00:00+00:00,,152.67,Nature Park,312,0.81,0.8,3625.6105450436753,0.0,0.0017596234844978321,0.81,1.0,0.0,0.0017596234844978321,0.5837639435226746
tabiatparki.658,DELMECE YAYLASI_TP,TabiatParklari,"Yalova-Çinarcik, Yalova-Armutlu",2011-07-10 21:00:00+00:00,2023-07-04 21:00:00+00:00,49.57,Nature Park,304,0.81,0.8,5118.755066873224,0.0,0.000556538081774655,0.81,1.0,0.0,0.000556538081774655,0.5835834807122661
tabiatparki.418,EGIL PEYGAMBERLER_TP,TabiatParklari,Diyarbakir-Egil,2017-06-15 21:00:00+00:00,,134.1392291,Nature Park,196,0.8066666666666666,0.8,23438.947212996984,0.0,0.0014428839911146177,0.8066666666666666,1.0,0.0,0.0014428839911146177,0.5825497659320006
tabiatparki.36,HAMSILOS KOYU_TP,TabiatParklari,Sinop-Sinop_Merkez Ilçe,2007-08-23 21:00:00+00:00,,67.899170432,Nature Park,55,0.52,0.8,36232.2498537623,1.0,0.0008069313553483393,0.52,1.0,0.5,0.0008069313553483393,0.5821210397033022
tabiatparki.204,YAMANLAR DAGI_TP,TabiatParklari,"Izmir-Menemen, Izmir-Karsiyaka",2011-07-10 21:00:00+00:00,,40.776282785,Nature Park,116,0.805,0.8,6795.36846793507,0.0,0.0004279499732967117,0.805,1.0,0.0,0.0004279499732967117,0.5818141924959945
tabiatparki.174,ÇIÇEKLI_TP,TabiatParklari,Izmir-Bornova,2011-07-10 21:00:00+00:00,,21.0976101924,Nature Park,95,0.805,0.8,550.3130337062922,0.0,0.00021116818716567488,0.805,1.0,0.0,0.00021116818716567488,0.5817816752280749
tabiatparki.392,KINIK SELALESI_TP,TabiatParklari,Bilecik-Bilecik_Merkez Ilçe,2018-06-03 21:00:00+00:00,,111.1016015,Nature Park,187,0.8016666666666667,0.8,8459.722687093901,0.0,0.001259838364586234,0.8016666666666667,1.0,0.0,0.001259838364586234,0.5807723090880212
milliparklar.537,GÜLLÜK DAGI-TERMESOS_MP,MilliParklar,"Antalya-Dösemealti, Antalya-Korkuteli, Antalya-Konyaalti",1970-11-02 22:00:00+00:00,,6699.97734406,National Park,36,0.7716666666666666,0.8,92116.0887698277,0.0,0.07058365733834902,0.7716666666666666,1.0,0.0,0.07058365733834902,0.5806708819340857
tabiatparki.162,DIKILITAS_TP,TabiatParklari,Mersin-Anamur,2011-07-10 21:00:00+00:00,,33.3346964752,Nature Park,89,0.795,0.8,85851.18605917195,0.0,0.00032303572761879025,0.795,1.0,0.0,0.00032303572761879025,0.5782984553591427
milliparklar.420,KOVADA GÖLÜ_MP,MilliParklar,"Isparta-Egirdir, Isparta-Sütçüler",1970-11-02 22:00:00+00:00,,6550.70883336,National Park,23,0.75,0.8,3001.909065472572,0.0,0.07023836785710058,0.75,1.0,0.0,0.07023836785710058,0.5730357551785651
tabiatparki.483,DAGILCAK_TP,TabiatParklari,Adana-Kozan,2011-07-10 21:00:00+00:00,2018-05-10 21:00:00+00:00,23.3147232,Nature Park,228,0.78,0.8,2393.60300616052,0.0,0.0002286027904982946,0.78,1.0,0.0,0.0002286027904982946,0.5730342904185747
tabiatparki.150,KURSUNLU SELALESI_TP,TabiatParklari,Antalya-Aksu,1991-05-20 21:00:00+00:00,,596.542901339,Nature Park,78,0.7716666666666666,0.8,82444.7894583746,0.0,0.006271060999839716,0.7716666666666666,1.0,0.0,0.006271060999839716,0.5710239924833093
tabiatparki.454,GÜVER_KANYONU_TP,TabiatParklari,"Antalya-Dösemealti, Antalya-Konyaalti",2020-04-05 21:00:00+00:00,,262.9,Nature Park,213,0.7716666666666666,0.8,95383.1330622631,0.0,0.002748456213845695,0.7716666666666666,1.0,0.0,0.002748456213845695,0.5704956017654101
tabiatparki.712,KANGAL_BALIKLIGÖL_TP,TabiatParklari,Sivas-Kangal,2025-07-12 21:00:00+00:00,,47.9,Nature Park,322,0.7716666666666666,0.8,17220.869189677276,0.0,0.0005175647713936567,0.7716666666666666,1.0,0.0,0.0005175647713936567,0.5701609680490424
milliparklar.648,DEREBUCAK ÇAMLIK MAGARALARI_MP,MilliParklar,"Konya-Derebucak, Antalya-Akseki",2013-11-28 22:00:00+00:00,2022-06-06 21:00:00+00:00,1147.36,National Park,44,0.7616666666666667,0.8,46648.94500863171,0.0,0.012196303613644058,0.7616666666666667,1.0,0.0,0.012196303613644058,0.5684127788753799
tabiatparki.640,VEZIRSUYU_TP,TabiatParklari,Samsun-Vezirköprü,2011-07-10 21:00:00+00:00,2017-08-09 21:00:00+00:00,287.646,Nature Park,295,0.765,0.8,18604.277748168755,0.0,0.0033956666994251553,0.765,1.0,0.0,0.0033956666994251553,0.5682593500049138
tabiatparki.462,AKSU_TP,TabiatParklari,Çorum-Kargi,2021-08-09 21:00:00+00:00,,68.06,Nature Park,217,0.765,0.8,11697.403823717836,0.0,0.0007875119314415897,0.765,1.0,0.0,0.0007875119314415897,0.5678681267897162
tabiatparki.434,KUGULU_TP,TabiatParklari,Konya-Seydisehir,2018-05-23 21:00:00+00:00,,484.514022,Nature Park,203,0.7616666666666667,0.8,24681.600435901244,0.0,0.005139977550824277,0.7616666666666667,1.0,0.0,0.005139977550824277,0.5673543299659569
tabiatparki.135,KOCAKORU ORMANI_TP,TabiatParklari,Konya-Seydisehir,1998-08-06 21:00:00+00:00,,330.791470877,Nature Park,74,0.7616666666666667,0.8,27643.51313903999,0.0,0.0035106774516114134,0.7616666666666667,1.0,0.0,0.0035106774516114134,0.5671099349510751
tabiatparki.587,YAKAMANASTIR_TP,TabiatParklari,Konya-Beysehir,2011-07-10 21:00:00+00:00,2016-01-21 22:00:00+00:00,88.4921457,Nature Park,269,0.7616666666666667,0.8,30935.210989822892,0.0,0.00092840758390282,0.7616666666666667,1.0,0.0,0.00092840758390282,0.5667225944709188
tabiatparki.346,KELEBEKLER_VADISI_TP,TabiatParklari,Ankara-Beypazari,2016-03-31 21:00:00+00:00,,176.6811567,Nature Park,165,0.76,0.8,26547.336060138045,0.0,0.0020163870063799006,0.76,1.0,0.0,0.0020163870063799006,0.5663024580509569
tabiatparki.255,TEKKEDAGI_TP,TabiatParklari,Ankara-Beypazari,2011-07-10 21:00:00+00:00,,100.013945507,Nature Park,129,0.76,0.8,25392.24724286629,0.0,0.0011340277212338943,0.76,1.0,0.0,0.0011340277212338943,0.566170104158185
milliparklar.79,SARIKAMIS-ALAHUEKBER DAGLARI_MP,MilliParklar,"Kars-Sarikamis, Kars-Selim, Erzurum-Senkaya",2004-10-18 21:00:00+00:00,,22519.8853878,National Park,13,0.6416666666666667,0.8,13587.734335570625,0.0,0.2611641926659497,0.6416666666666667,1.0,0.0,0.2611641926659497,0.5637579622332257
tabiatparki.428,EKMEKSIZ PLAJI TABIAT PARKI,TabiatParklari,Izmir-Seferihisar,2011-07-10 21:00:00+00:00,2013-07-28 21:00:00+00:00,10.1542506742,Nature Park,201,0.7533333333333333,0.8,3939.703478628303,0.0,8.988765458128773e-05,0.7533333333333333,1.0,0.0,8.988765458128773e-05,0.5636801498148538
tabiatparki.188,YAZILI KANYON_TP,TabiatParklari,Isparta-Sütçüler,1989-09-04 21:00:00+00:00,,599.8784,Nature Park,101,0.75,0.8,18168.127865077717,0.0,0.00638440634295588,0.75,1.0,0.0,0.00638440634295588,0.5634576609514433
tabiatparki.85,BASPINAR_TP,TabiatParklari,Isparta-Aksu,2011-07-10 21:00:00+00:00,,39.5039324476,Nature Park,63,0.75,0.8,15676.875857278794,0.0,0.00040529340275009297,0.75,1.0,0.0,0.00040529340275009297,0.5625607940104125
