id,kentAtlasiDegeriKodu,kentAtlasiDegeri,gecirimsizlikKatmani,tucbsNo,aciklama,gecerlilikBaslangici,gecerlilikSonu,gozlemTarihi,hilucsAraziKullanimi,hilucsDurumu,olcek,surumBaslangicZamani,surumBitisZamani,total_population,estimated_water_supply,population_pressure,urban_water_stress_score
sehirAtlasi.576,11100,Sürekli Kentsel Alan (> 80%),0,CBSGM_1_7984527,,2019-02-18 00:00:00+00:00,,,,,1:10000,,,0.0,1.1548698497448948,0.0,0.0
sehirAtlasi.577,21010,Sera Alanları,0,CBSGM_1_8409886,,2019-05-28 00:00:00+00:00,,,,,1:10000,,,0.0,1.1231697288121163,0.0,0.0
sehirAtlasi.578,11230,Düşük Yoğunluklu Süreksiz Kentsel Alan (10% - 30%),0,CBSGM_1_8409887,,2019-05-29 00:00:00+00:00,,,,,1:10000,,,0.0,0.9500926514243526,0.0,0.0
sehirAtlasi.579,21000,Ekilebilir Alanlar,0,CBSGM_1_8409888,,2019-05-25 00:00:00+00:00,,,,,1:10000,,,0.0,0.9081415736608238,0.0,0.0
sehirAtlasi.580,21000,Ekilebilir Alanlar,0,CBSGM_1_8409889,,2019-05-25 00:00:00+00:00,,,,,1:10000,,,0.0,0.8430634135780167,0.0,0.0
sehirAtlasi.581,13300,İnşaat Alanları,0,CBSGM_1_7984528,,2019-02-11 00:00:00+00:00,,,,,1:10000,,,0.0,0.8904367204001824,0.0,0.0
sehirAtlasi.582,11240,Çok Düşük Yoğunluklu Süreksiz Kentsel Alan (< 10%),6,CBSGM_1_7984529,,2019-02-12 00:00:00+00:00,,,,,1:10000,,,0.0,1.3380685598465698,0.0,0.0
sehirAtlasi.583,11240,Çok Düşük Yoğunluklu Süreksiz Kentsel Alan (< 10%),6,CBSGM_1_7984530,,2019-02-12 00:00:00+00:00,,,,,1:10000,,,0.0,0.7820520580562198,0.0,0.0
sehirAtlasi.584,14120,Kent İçindeki Yeşil Alanlar ( Aktif ),0,CBSGM_1_7984531,,2019-02-06 00:00:00+00:00,,,,,1:10000,,,0.0,1.0804307511760247,0.0,0.0
sehirAtlasi.585,12220,Diğer Yollar ve İlgili Alanlar,0,CBSGM_1_7984532,,2019-02-06 00:00:00+00:00,,,,,1:10000,,,0.0,0.7847293947062388,0.0,0.0
sehirAtlasi.586,12220,Diğer Yollar ve İlgili Alanlar,0,CBSGM_1_7984533,,2019-02-05 00:00:00+00:00,,,,,1:10000,,,0.0,1.4035195173593862,0.0,0.0
sehirAtlasi.587,13400,Mevcut Kullanımı Olmayan Alanlar,0,CBSGM_1_7984534,,2019-02-13 00:00:00+00:00,,,,,1:10000,,,0.0,0.6856399857314206,0.0,0.0
sehirAtlasi.588,11210,Yüksek Yoğunluklu Süreksiz Kentsel Alan (50% - 80%),43,CBSGM_1_7984535,,2019-02-06 00:00:00+00:00,,,,,1:10000,,,0.0,1.398605385567508,0.0,0.0
sehirAtlasi.589,11210,Yüksek Yoğunluklu Süreksiz Kentsel Alan (50% - 80%),24,CBSGM_1_7984536,,2019-02-06 00:00:00+00:00,,,,,1:10000,,,0.0,0.8726474367184418,0.0,0.0
sehirAtlasi.590,12220,Diğer Yollar ve İlgili Alanlar,0,CBSGM_1_7984537,,2019-02-12 00:00:00+00:00,,,,,1:10000,,,0.0,0.7822304703269903,0.0,0.0
sehirAtlasi.591,12220,Diğer Yollar ve İlgili Alanlar,0,CBSGM_1_7984538,,2019-02-21 00:00:00+00:00,,,,,1:10000,,,0.0,1.0412024058506983,0.0,0.0
sehirAtlasi.592,12220,Diğer Yollar ve İlgili Alanlar,0,CBSGM_1_7984539,,2019-02-04 00:00:00+00:00,,,,,1:10000,,,0.0,0.6867439257610444,0.0,0.0
sehirAtlasi.750,12120,Ticaret Alanları,0,CBSGM_1_7976242,,2019-05-22 00:00:00+00:00,,,,,1:10000,,,0.0,0.6815992306336947,0.0,0.0
sehirAtlasi.751,50000,Su Alanları,0,CBSGM_1_7976243,,2019-05-22 00:00:00+00:00,,,,,1:10000,,,0.0,0.6685711513504742,0.0,0.0
sehirAtlasi.752,32000,Maki veya Otsu Bitkiler,0,CBSGM_1_7976244,,2019-05-24 00:00:00+00:00,,,,,1:10000,,,0.0,1.386602197224346,0.0,0.0
sehirAtlasi.923,11230,Düşük Yoğunluklu Süreksiz Kentsel Alan (10% - 30%),0,CBSGM_1_7976624,,2019-09-13 00:00:00+00:00,,,,,1:10000,,,0.0,1.2170265538799527,0.0,0.0
sehirAtlasi.910,11240,Çok Düşük Yoğunluklu Süreksiz Kentsel Alan (< 10%),0,CBSGM_1_7976611,,2019-09-13 00:00:00+00:00,,,,,1:10000,,,0.0,1.218237290878814,0.0,0.0
sehirAtlasi.911,21010,Sera Alanları,0,CBSGM_1_7976612,,2019-09-13 00:00:00+00:00,,,,,1:10000,,,0.0,1.2170817060233252,0.0,0.0
sehirAtlasi.912,22000,Sürekli Ürünler,0,CBSGM_1_7976613,,2019-09-13 00:00:00+00:00,,,,,1:10000,,,0.0,1.2371161002603608,0.0,0.0
sehirAtlasi.913,13400,Mevcut Kullanımı Olmayan Alanlar,0,CBSGM_1_7976614,,2019-09-13 00:00:00+00:00,,,,,1:10000,,,0.0,1.2353639490107178,0.0,0.0
