id_1,adi,id_2,akifer,groundwater_sensitivity,id,istno,last1month,last3month,last6month,last12month,last24month,last9month,drought_severity,area,agricultural_area_pressure,drought_norm,groundwater_norm,final_water_stress_score,agricultural_water_stress_score
isletmesinirlari.87,ULAŞ TİM,akifersinirlari.38753,Verimsiz,0.2,spikuraklikindeks.39.743699999999997.37.002000000000002,17090,-0.88,-1.59,-0.31,-1.92,-1.77,-1.29,0.82,264528.8178334245,0.0007643705183041419,0.7999999999999999,0.0,0.3601528741036608,0.3601528741036608
isletmesinirlari.87,ULAŞ TİM,akifersinirlari.38755,Verimsiz,0.2,spikuraklikindeks.39.242800000000003.37.389000000000003,17762,-1.07,-1.81,-1.06,-1.63,-0.7,-1.31,0.7716666666666666,17476.931334607383,4.9959449813386504e-05,0.7462962962962962,0.0,0.335843325223296,0.335843325223296
isletmesinirlari.87,ULAŞ TİM,akifersinirlari.38755,Verimsiz,0.2,spikuraklikindeks.39.743699999999997.37.002000000000002,17090,-0.88,-1.59,-0.31,-1.92,-1.77,-1.29,0.82,17476.931334607383,4.9959449813386504e-05,0.7999999999999999,0.0,0.3600099918899627,0.3600099918899627
isletmesinirlari.87,ULAŞ TİM,akifersinirlari.38759,Verimsiz,0.2,spikuraklikindeks.39.242800000000003.37.389000000000003,17762,-1.07,-1.81,-1.06,-1.63,-0.7,-1.31,0.7716666666666666,5391.410928672501,1.5011206070620733e-05,0.7462962962962962,0.0,0.33583633557454745,0.33583633557454745
isletmesinirlari.87,ULAŞ TİM,akifersinirlari.38759,Verimsiz,0.2,spikuraklikindeks.39.743699999999997.37.002000000000002,17090,-0.88,-1.59,-0.31,-1.92,-1.77,-1.29,0.82,5391.410928672501,1.5011206070620733e-05,0.7999999999999999,0.0,0.3600030022412141,0.3600030022412141
isletmesinirlari.87,ULAŞ TİM,akifersinirlari.38761,Verimsiz,0.2,spikuraklikindeks.39.242800000000003.37.389000000000003,17762,-1.07,-1.81,-1.06,-1.63,-0.7,-1.31,0.7716666666666666,55639.97890848843,0.00016031725351406956,0.7462962962962962,0.0,0.33586539678403615,0.33586539678403615
isletmesinirlari.87,ULAŞ TİM,akifersinirlari.38761,Verimsiz,0.2,spikuraklikindeks.39.743699999999997.37.002000000000002,17090,-0.88,-1.59,-0.31,-1.92,-1.77,-1.29,0.82,55639.97890848843,0.00016031725351406956,0.7999999999999999,0.0,0.3600320634507028,0.3600320634507028
isletmesinirlari.87,ULAŞ TİM,akifersinirlari.39704,Sınırlı Verimli,0.5,spikuraklikindeks.39.242800000000003.37.389000000000003,17762,-1.07,-1.81,-1.06,-1.63,-0.7,-1.31,0.7716666666666666,41212319.528675355,0.11917494138519964,0.7462962962962962,0.4999999999999999,0.5346683216103731,0.5346683216103731
isletmesinirlari.87,ULAŞ TİM,akifersinirlari.39704,Sınırlı Verimli,0.5,spikuraklikindeks.39.743699999999997.37.002000000000002,17090,-0.88,-1.59,-0.31,-1.92,-1.77,-1.29,0.82,41212319.528675355,0.11917494138519964,0.7999999999999999,0.4999999999999999,0.5588349882770398,0.5588349882770398
isletmesinirlari.87,ULAŞ TİM,akifersinirlari.42878,Verimli,0.8,spikuraklikindeks.39.242800000000003.37.389000000000003,17762,-1.07,-1.81,-1.06,-1.63,-0.7,-1.31,0.7716666666666666,62424.57124169314,0.00017993656477183713,0.7462962962962962,1.0,0.6858693206462877,0.6858693206462877
